Month,Zipcode,Crime rate per 1000
08/2022,85283,0.62
08/2022,85284,0.62
08/2022,85285,0.62
08/2022,85287,0.62
08/2022,85288,0.62
08/2022,85289,0.62
09/2022,85280,1.02
09/2022,85281,1.02
09/2022,85282,1.02
09/2022,85283,1.02
09/2022,85284,1.02
09/2022,85285,1.02
09/2022,85287,1.02
09/2022,85288,1.02
09/2022,85289,1.02
10/2022,85280,0.79
10/2022,85281,0.79
10/2022,85282,0.79
10/2022,85283,0.79
10/2022,85284,0.79
10/2022,85285,0.79
10/2022,85287,0.79
10/2022,85288,0.79
10/2022,85289,0.79
11/2022,85280,0.52
11/2022,85281,0.52
11/2022,85282,0.52
11/2022,85283,0.52
11/2022,85284,0.52
11/2022,85285,0.52
11/2022,85287,0.52
11/2022,85288,0.52
11/2022,85289,0.52
12/2022,85280,0.27
12/2022,85281,0.27
12/2022,85282,0.27
12/2022,85283,0.27
12/2022,85284,0.27
12/2022,85285,0.27
12/2022,85287,0.27
12/2022,85288,0.27
12/2022,85289,0.27
01/2023,85280,0.54
01/2023,85281,0.54
01/2023,85282,0.54
01/2023,85283,0.54
01/2023,85284,0.54
01/2023,85285,0.54
01/2023,85287,0.54
01/2023,85288,0.54
01/2023,85289,0.54
02/2023,85280,0.56
02/2023,85281,0.56
02/2023,85282,0.56
02/2023,85283,0.56
02/2023,85284,0.56
02/2023,85285,0.56
02/2023,85287,0.56
02/2023,85288,0.56
02/2023,85289,0.56
03/2023,85280,0.44
03/2023,85281,0.44
03/2023,85282,0.44
03/2023,85283,0.44
03/2023,85284,0.44
03/2023,85285,0.44
03/2023,85287,0.44
03/2023,85288,0.44
03/2023,85289,0.44
04/2023,85280,0.38
04/2023,85281,0.38
04/2023,85282,0.38
04/2023,85283,0.38
04/2023,85284,0.38
04/2023,85285,0.38
04/2023,85287,0.38
04/2023,85288,0.38
04/2023,85289,0.38
05/2023,85280,0.16
05/2023,85281,0.16
05/2023,85282,0.16
05/2023,85283,0.16
05/2023,85284,0.16
05/2023,85285,0.16
05/2023,85287,0.16
05/2023,85288,0.16
05/2023,85289,0.16
06/2023,85280,0.16
06/2023,85281,0.16
06/2023,85282,0.16
06/2023,85283,0.16
