year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2021,85117,N/A,33.94,N/A,N/A
2022,85117,N/A,42.04,N/A,N/A
2023,85117,N/A,40.62,N/A,N/A
2018,85118,64449.0,36.89,N/A,291624.03
2019,85118,70133.0,38.06,N/A,312671.69
2020,85118,68350.0,33.94,N/A,334659.12
2021,85118,71474.0,33.94,N/A,415986.75
2022,85118,80703.0,42.04,N/A,499888.68
2023,85118,82856.0,40.62,N/A,483788.54
2018,85119,48961.0,39.0,N/A,219923.61
2019,85119,55579.0,40.25,N/A,240793.09
2020,85119,58474.0,36.03,N/A,264735.06
2021,85119,61028.0,36.15,N/A,333364.42
2022,85119,65939.0,43.94,N/A,397549.68
2023,85119,69949.0,42.31,N/A,379014.37
2018,85120,41386.0,39.0,N/A,195446.49
2019,85120,42993.0,40.25,N/A,216639.12
2020,85120,44867.0,36.03,N/A,237131.01
2021,85120,47048.0,36.15,N/A,301297.75
2022,85120,53291.0,43.94,N/A,368925.18
2023,85120,53921.0,42.31,N/A,349069.73
2018,85121,8939.0,5.94,N/A,N/A
2019,85121,13095.0,5.11,N/A,N/A
2020,85121,15583.0,5.38,N/A,N/A
2021,85121,21912.0,6.39,N/A,N/A
2022,85121,33566.0,6.13,N/A,N/A
2023,85121,35958.0,5.47,N/A,N/A
2018,85122,48289.0,49.74,N/A,177123.98
2019,85122,51665.0,44.53,N/A,195579.97
2020,85122,53772.0,44.23,N/A,213287.83
2021,85122,57542.0,50.77,N/A,271709.82
2022,85122,62944.0,59.08,N/A,342628.3
2023,85122,64243.0,48.31,N/A,320747.97
2018,85123,42418.0,5.94,N/A,130102.55
2019,85123,40348.0,5.11,N/A,151936.55
2020,85123,42254.0,5.38,N/A,167327.73
2021,85123,48044.0,6.39,N/A,221116.37
2022,85123,52396.0,6.13,N/A,282222.97
2023,85123,60610.0,5.47,N/A,260588.96
2018,85127,N/A,2.11,N/A,N/A
2019,85127,N/A,2.19,N/A,N/A
2020,85127,N/A,2.09,N/A,N/A
2021,85127,N/A,2.21,N/A,N/A
2022,85127,N/A,1.9,N/A,N/A
2023,85127,N/A,1.69,N/A,N/A
2018,85128,45601.0,58.5,N/A,141954.37
2019,85128,49142.0,55.59,N/A,164990.67
2020,85128,50785.0,47.79,N/A,183526.44
2021,85128,49562.0,45.43,N/A,237196.13
2022,85128,55768.0,52.32,N/A,305469.14
2023,85128,57205.0,37.0,N/A,291602.75
2018,85130,N/A,49.74,N/A,N/A
2019,85130,N/A,44.53,N/A,N/A
2020,85130,N/A,44.23,N/A,N/A
2021,85130,N/A,50.77,N/A,N/A
2022,85130,N/A,59.08,N/A,N/A
2023,85130,N/A,48.31,N/A,N/A
2018,85131,38142.0,41.0,N/A,152155.63
2019,85131,40063.0,39.94,N/A,179663.53
2020,85131,40902.0,7.35,N/A,206087.73
2021,85131,51471.0,45.55,N/A,255659.52
2022,85131,58229.0,40.42,N/A,311630.32
2023,85131,55137.0,32.35,N/A,296490.21
2018,85132,54673.0,14.66,N/A,192345.33
2019,85132,55348.0,11.83,N/A,213168.89
2020,85132,58390.0,12.0,N/A,230913.84
2021,85132,63623.0,13.72,N/A,296434.2
2022,85132,72894.0,15.71,N/A,376511.24
2023,85132,76832.0,15.14,N/A,347182.84
2018,85135,38375.0,120.49,N/A,N/A
2019,85135,36500.0,112.57,N/A,N/A
2020,85135,34500.0,59.84,N/A,N/A
2021,85135,36477.0,12.69,N/A,N/A
2022,85135,33182.0,9.97,N/A,N/A
